"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"137","ASTU","CRC",2016,28,1,"Asclepias tuberosa","Butterfly Milkweed",3318.4,0.6646,2205.40864,53,"80",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"138","ASTU","NWMHRC",2016,29,2,"Asclepias tuberosa","Butterfly Milkweed",765.6,0.6646,508.81776,48,"20",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"139","ASTU","NWMHRC",2016,28,1,"Asclepias tuberosa","Butterfly Milkweed",2210,0.6646,1468.766,44.5,"65",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"140","ASTU","NWMHRC",2016,28,2,"Asclepias tuberosa","Butterfly Milkweed",1394,0.6646,926.4524,49,"35",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"141","ASTU","NWMHRC",2016,29,4,"Asclepias tuberosa","Butterfly Milkweed",696,0.6646,462.5616,53,"25",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"142","ASTU","NWMHRC",2016,29,3,"Asclepias tuberosa","Butterfly Milkweed",1510.6,0.6646,1003.94476,52,"50",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"143","ASTU","CRC",2016,29,2,"Asclepias tuberosa","Butterfly Milkweed",1503.8,0.6646,999.42548,66,"75",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"144","ASTU","SWMREC",2015,31,4,"Asclepias tuberosa","Butterfly Milkweed",46,0.6646,30.5716,34,"20",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"145","ASTU","NWMHRC",2015,31,2,"Asclepias tuberosa","Butterfly Milkweed",18,0.6646,11.9628,51,"20",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"146","ASTU","SWMREC",2016,28,3,"Asclepias tuberosa","Butterfly Milkweed",113,0.6646,75.0998,36.5,"10",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"147","ASTU","CRC",2016,27,4,"Asclepias tuberosa","Butterfly Milkweed",1100,0.6646,731.06,65,"90",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"148","ASTU","CRC",2016,28,3,"Asclepias tuberosa","Butterfly Milkweed",2665.6,0.6646,1771.55776,44,"40",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"149","ASTU","SWMREC",2016,27,1,"Asclepias tuberosa","Butterfly Milkweed",1806,0.6646,1200.2676,49,"60",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
