week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
30,CRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,269,0.6646,178.7774,51,30,0,0
30,CRC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,196,0.6646,130.2616,41,60,0,0
30,CRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,121,0.6646,80.4166,46,50,0,0
30,CRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,171,0.6646,113.6466,40,35,0,0
30,NWMHRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,156,0.6646,103.6776,51,55,0,0
30,NWMHRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,158,0.6646,105.0068,58.5,40,0,0
30,NWMHRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,185,0.6646,122.951,47,40,0,0
31,SWMREC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,25,0.6646,16.615,49,5,0,0
31,SWMREC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,46,0.6646,30.5716,34,20,0,0
31,NWMHRC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,18,0.6646,11.9628,51,20,0,0
31,NWMHRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,85,0.6646,56.491,58,30,0,0
31,NWMHRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,164,0.6646,108.9944,54,35,0,0
31,NWMHRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,194,0.6646,128.9324,55,40,0,0
31,CRC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,657.6,0.6646,437.04096,47,45,1,0
31,CRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,822,0.6646,546.3012,63,50,1,0
31,CRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,685,0.6646,455.251,56,35,1,0
